project_id,project_name,source_type,primary_cluster,evidence_text,notes
flagship_alive,ALIVE,Flagship,Prevention & positive health,"Lifestyle, lifecourse, prevention and individual health journeys.",
flagship_chmc,CHMC / Human Mobility,Flagship,Care anywhere / hybrid care,"Human mobility, rehabilitation, monitoring and functioning connect to care beyond the hospital and data-driven monitoring.",
flagship_healthy_joints,Healthy Joints,Flagship,Precision medicine at scale & advanced therapies,"Person-specific treatment for osteoarthritis and improved intervention strategies for joint disease.",
flagship_organ_transplantation,Organ Transplantation,Flagship,Precision medicine at scale & advanced therapies,"Making unsuitable donor organs suitable relates to advanced therapies, treatment validation and improved transplantation outcomes.",
flagship_personalized_real_time_health,Personalized Real-Time Health,Flagship,Prevention & positive health,"Real-time health impact of climate change and pollution connects to prevention, risk stratification and early warning.",
flagship_icell,iCell,Flagship,Precision medicine at scale & advanced therapies,"Individualized cellular models of disease diversity connect directly to precision medicine, cellular models and treatment response.",
flagship_cific,CIFIC,Flagship,"AI-driven early detection, smart diagnostics & decision support","Imaging facility and innovation centre connects to imaging, diagnostics and clinical decision support.",
flagship_smart_or_2030,Smart OR 2030,Flagship,Workforce & system transformation,"Smart operating room connects to workflow, capacity, process optimisation, decision support and technology-enabled care processes.",
flagship_consultation_room_2030,Consultation Room 2030,Flagship,Care anywhere / hybrid care,"Continuity of care from hospital to home connects directly to hybrid care and care process redesign.",
flagship_integrative_neuromedicine,Integrative Neuromedicine,Flagship,"AI-driven early detection, smart diagnostics & decision support","Mapping, understanding and intervention for neurological disorders connects to diagnostics, treatment development and clinical decision support.",
sh_smart_or_2030,Smart OR 2030,Sustainable Health,Workforce & system transformation,"Smart operating room connects to workflow, capacity, process optimisation, decision support and technology-enabled care processes.",
sh_zero_emission_endoscopy,Transition towards Zero Emission Endoscopy,Sustainable Health,Workforce & system transformation,"Sustainable endoscopy relates to redesigning clinical processes, reducing environmental impact and improving long-term health system sustainability.",
sh_technological_innovations_for_nurses,Technological innovations for nurses,Sustainable Health,Workforce & system transformation,"Technological innovation for nurses connects to workload reduction, care process redesign and technology-supported nursing work.",
